ID,PRICEPTM,DISTANCE,WEIGHT,PCTLOAD,ORIGIN,MARKET,DEREG,CARRIER,PRODUCT
59,111785,1.7,0.75,3.1,JAX     ,LARGE   ,YES     ,A       ,200
60,65878,1.7,24,100,JAX     ,LARGE   ,YES     ,A       ,200
61,71837,3.6,0.75,3.1,JAX     ,LARGE   ,YES     ,A       ,200
62,62828,3.6,3,12.5,JAX     ,LARGE   ,YES     ,A       ,200
63,51567,3.6,15,62.5,JAX     ,LARGE   ,YES     ,A       ,200
64,56363,3,15,62.5,JAX     ,SMALL   ,YES     ,A       ,200
65,79759,2.3,3,12.5,JAX     ,SMALL   ,YES     ,A       ,200
66,55376,2.3,24,100,JAX     ,SMALL   ,YES     ,A       ,200
67,19942,3.6,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,100
68,112162,0.25,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,100
69,72973,0.25,15,65.2,MIA     ,LARGE   ,YES     ,B       ,100
70,41892,0.25,24,100,MIA     ,LARGE   ,YES     ,B       ,100
71,23519,2.6,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,100
72,58221,1.5,0.25,1.1,MIA     ,SMALL   ,YES     ,B       ,100
73,25725,4.8,0.25,1.1,MIA     ,LARGE   ,YES     ,B       ,100
74,17103,4.8,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,100
75,5884,6,24,100,MIA     ,SMALL   ,YES     ,B       ,100
76,35079,3,0.25,1.1,JAX     ,SMALL   ,YES     ,B       ,100
77,33671,3,0.75,3.3,JAX     ,SMALL   ,YES     ,B       ,100
78,26408,3,3,13,JAX     ,SMALL   ,YES     ,B       ,100
79,21734,3,7.5,32.6,JAX     ,SMALL   ,YES     ,B       ,100
80,8390,3,24,100,JAX     ,SMALL   ,YES     ,B       ,100
81,37063,1.7,3,13,JAX     ,LARGE   ,YES     ,B       ,100
82,11328,1.7,24,100,JAX     ,LARGE   ,YES     ,B       ,100
83,25118,2.3,7.5,32.6,JAX     ,SMALL   ,YES     ,B       ,100
84,41988,2.1,0.75,3.3,JAX     ,LARGE   ,YES     ,B       ,100
85,32416,2.1,3,13,JAX     ,LARGE   ,YES     ,B       ,100
86,7789,3.6,24,100,MIA     ,LARGE   ,YES     ,B       ,150
87,215541,0.25,0.25,1.1,MIA     ,LARGE   ,YES     ,B       ,150
88,112162,0.25,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,150
89,72973,0.25,15,65.2,MIA     ,LARGE   ,YES     ,B       ,150
90,15463,2.6,15,65.2,MIA     ,LARGE   ,YES     ,B       ,150
91,9161,2.6,24,100,MIA     ,LARGE   ,YES     ,B       ,150
92,52703,1.5,0.75,3.3,MIA     ,SMALL   ,YES     ,B       ,150
93,40090,1.5,3,13,MIA     ,SMALL   ,YES     ,B       ,150
94,21009,4.8,3,13,MIA     ,LARGE   ,YES     ,B       ,150
95,17103,4.8,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,150
96,15541,6,7.5,32.6,MIA     ,SMALL   ,YES     ,B       ,150
97,11852,6,15,65.2,MIA     ,SMALL   ,YES     ,B       ,150
98,50394,1.8,0.25,1.1,MIA     ,SMALL   ,YES     ,B       ,150
99,35567,1.8,3,13,MIA     ,SMALL   ,YES     ,B       ,150
100,32343,3.4,0.25,1.1,JAX     ,LARGE   ,YES     ,B       ,150
101,24841,3.4,3,13,JAX     ,LARGE   ,YES     ,B       ,150
102,7850,3.4,24,100,JAX     ,LARGE   ,YES     ,B       ,150
103,35079,3,0.25,1.1,JAX     ,SMALL   ,YES     ,B       ,150
104,33671,3,0.75,3.3,JAX     ,SMALL   ,YES     ,B       ,150
105,26408,3,3,13,JAX     ,SMALL   ,YES     ,B       ,150
106,41988,2.1,0.75,3.3,JAX     ,LARGE   ,YES     ,B       ,150
107,30593,3.6,0.25,1.1,MIA     ,LARGE   ,YES     ,B       ,200
108,30218,3.6,0.75,3.3,MIA     ,LARGE   ,YES     ,B       ,200
109,133108,0.25,3,13,MIA     ,LARGE   ,YES     ,B       ,200
110,72973,0.25,15,65.2,MIA     ,LARGE   ,YES     ,B       ,200
111,36772,2.6,0.75,3.3,MIA     ,LARGE   ,YES     ,B       ,200
112,28846,2.6,3,13,MIA     ,LARGE   ,YES     ,B       ,200
113,15463,2.6,15,65.2,MIA     ,LARGE   ,YES     ,B       ,200
114,25725,4.8,0.75,3.3,MIA     ,LARGE   ,YES     ,B       ,200
115,21009,4.8,3,13,MIA     ,LARGE   ,YES     ,B       ,200
116,17103,4.8,7.5,32.6,MIA     ,LARGE   ,YES     ,B       ,200
117,6616,4.8,24,100,MIA     ,LARGE   ,YES     ,B       ,200
118,22832,6,0.75,3.3,MIA     ,SMALL   ,YES     ,B       ,200
119,5884,6,24,100,MIA     ,SMALL   ,YES     ,B       ,200
120,35567,1.8,3,13,MIA     ,SMALL   ,YES     ,B       ,200
121,28810,1.8,7.5,32.6,MIA     ,SMALL   ,YES     ,B       ,200
122,19050,1.8,15,65.2,MIA     ,SMALL   ,YES     ,B       ,200
123,7850,3.4,24,100,JAX     ,LARGE   ,YES     ,B       ,200
124,8390,3,24,100,JAX     ,SMALL   ,YES     ,B       ,200
125,30207,1.7,7.5,32.6,JAX     ,LARGE   ,YES     ,B       ,200
126,13044,3.6,15,65.2,JAX     ,LARGE   ,YES     ,B       ,200
127,33671,3,0.75,3.3,JAX     ,SMALL   ,YES     ,B       ,200
128,26408,3,3,13,JAX     ,SMALL   ,YES     ,B       ,200
129,21734,3,7.5,32.6,JAX     ,SMALL   ,YES     ,B       ,200
130,14471,3,15,65.2,JAX     ,SMALL   ,YES     ,B       ,200
131,25118,2.3,7.5,32.6,JAX     ,SMALL   ,YES     ,B       ,200
132,44562,2.1,0.25,1.1,JAX     ,LARGE   ,YES     ,B       ,200
133,10296,2.1,24,100,JAX     ,LARGE   ,YES     ,B       ,200
134,25244,3.6,15,61.2,MIA     ,LARGE   ,YES     ,C       ,100
135,256757,0.25,0.25,1,MIA     ,LARGE   ,YES     ,C       ,100
136,221622,0.25,0.75,3.1,MIA     ,LARGE   ,YES     ,C       ,100
137,30211,2.6,15,61.2,MIA     ,LARGE   ,YES     ,C       ,100
138,21256,3.6,24,98,JAX     ,LARGE   ,YES     ,C       ,100
139,53819,3.6,0.75,3.1,JAX     ,LARGE   ,YES     ,C       ,150
140,37960,3.6,7.5,30.6,JAX     ,LARGE   ,YES     ,C       ,150
141,37960,3.6,15,61.2,JAX     ,LARGE   ,YES     ,C       ,150
142,64752,2.1,0.25,1,JAX     ,LARGE   ,YES     ,C       ,150
143,70899,3.6,0.25,1,MIA     ,LARGE   ,YES     ,C       ,200
144,70524,3.6,0.75,3.1,MIA     ,LARGE   ,YES     ,C       ,200
145,341216,0.25,3,12.2,MIA     ,LARGE   ,YES     ,C       ,200
146,86149,2.6,0.25,1,MIA     ,LARGE   ,YES     ,C       ,200
147,50676,2.6,24,98,MIA     ,LARGE   ,YES     ,C       ,200
148,63245,3.4,3,12.2,JAX     ,LARGE   ,YES     ,C       ,200
149,52067,3.4,7.5,30.6,JAX     ,LARGE   ,YES     ,C       ,200
150,52067,3.4,15,61.2,JAX     ,LARGE   ,YES     ,C       ,200
151,70524,3.6,0.75,3.1,JAX     ,LARGE   ,YES     ,C       ,200
152,96042,2.1,0.75,3.1,JAX     ,LARGE   ,YES     ,C       ,200
153,67809,2.1,7.5,30.6,JAX     ,LARGE   ,YES     ,C       ,200
154,67809,2.1,15,61.2,JAX     ,LARGE   ,YES     ,C       ,200
155,44403,3.6,0.25,1,MIA     ,LARGE   ,NO      ,A       ,100
156,44403,3.6,0.25,1,MIA     ,LARGE   ,NO      ,C       ,100
157,44403,3.6,0.25,1.1,MIA     ,LARGE   ,NO      ,D       ,100
158,44042,3.6,0.75,3.1,MIA     ,LARGE   ,NO      ,A       ,100
159,44042,3.6,0.75,3.3,MIA     ,LARGE   ,NO      ,B       ,100
160,44042,3.6,0.75,3.2,MIA     ,LARGE   ,NO      ,D       ,100
161,29963,3.6,7.5,31.9,MIA     ,LARGE   ,NO      ,D       ,100
162,23298,3.6,24,100,MIA     ,LARGE   ,NO      ,A       ,100
163,23298,3.6,24,100,MIA     ,LARGE   ,NO      ,B       ,100
164,263386,0.25,0.75,3.1,MIA     ,LARGE   ,NO      ,A       ,100
165,201871,0.25,3,13,MIA     ,LARGE   ,NO      ,B       ,100
166,165482,0.25,7.5,32.6,MIA     ,LARGE   ,NO      ,B       ,100
167,165482,0.25,15,63.8,MIA     ,LARGE   ,NO      ,D       ,100
168,129628,0.25,24,100,MIA     ,LARGE   ,NO      ,A       ,100
169,129628,0.25,24,100,MIA     ,LARGE   ,NO      ,B       ,100
170,43570,2.6,3,13,MIA     ,LARGE   ,NO      ,B       ,100
171,35906,2.6,7.5,32.6,MIA     ,LARGE   ,NO      ,B       ,100
172,35906,2.6,7.5,30.6,MIA     ,LARGE   ,NO      ,C       ,100
173,35906,2.6,15,61.2,MIA     ,LARGE   ,NO      ,C       ,100
174,27636,2.6,24,100,MIA     ,LARGE   ,NO      ,A       ,100
175,27636,2.6,24,100,MIA     ,LARGE   ,NO      ,D       ,100
176,80575,1.5,0.25,1,MIA     ,SMALL   ,NO      ,C       ,100
177,37725,4.8,0.25,1,MIA     ,LARGE   ,NO      ,A       ,100
178,37725,4.8,0.25,1.1,MIA     ,LARGE   ,NO      ,D       ,100
179,37725,4.8,0.75,3.1,MIA     ,LARGE   ,NO      ,C       ,100
180,37725,4.8,0.75,3.2,MIA     ,LARGE   ,NO      ,D       ,100
181,31723,4.8,3,12.2,MIA     ,LARGE   ,NO      ,C       ,100
182,20311,4.8,24,100,MIA     ,LARGE   ,NO      ,B       ,100
183,20311,4.8,24,98,MIA     ,LARGE   ,NO      ,C       ,100
184,33573,6,0.25,1.1,MIA     ,SMALL   ,NO      ,B       ,100
185,33573,6,0.75,3.1,MIA     ,SMALL   ,NO      ,A       ,100
186,33573,6,0.75,3.3,MIA     ,SMALL   ,NO      ,B       ,100
187,28591,6,3,12.2,MIA     ,SMALL   ,NO      ,C       ,100
188,23357,6,7.5,31.3,MIA     ,SMALL   ,NO      ,A       ,100
189,23357,6,15,61.2,MIA     ,SMALL   ,NO      ,C       ,100
190,18353,6,24,100,MIA     ,SMALL   ,NO      ,B       ,100
191,18353,6,24,100,MIA     ,SMALL   ,NO      ,D       ,100
192,70756,1.8,0.25,1,MIA     ,SMALL   ,NO      ,C       ,100
193,43922,1.8,7.5,30.6,MIA     ,SMALL   ,NO      ,C       ,100
194,43922,1.8,7.5,31.9,MIA     ,SMALL   ,NO      ,D       ,100
195,43922,1.8,15,61.2,MIA     ,SMALL   ,NO      ,C       ,100
196,34132,1.8,24,100,MIA     ,SMALL   ,NO      ,A       ,100
197,34132,1.8,24,98,MIA     ,SMALL   ,NO      ,C       ,100
198,34132,1.8,24,100,MIA     ,SMALL   ,NO      ,D       ,100
199,46442,3.4,0.25,1,JAX     ,LARGE   ,NO      ,A       ,100
200,46442,3.4,0.25,1.1,JAX     ,LARGE   ,NO      ,D       ,100
201,37714,3.4,3,12.2,JAX     ,LARGE   ,NO      ,C       ,100
202,30706,3.4,7.5,30.6,JAX     ,LARGE   ,NO      ,C       ,100
203,30706,3.4,7.5,31.9,JAX     ,LARGE   ,NO      ,D       ,100
204,30706,3.4,15,62.5,JAX     ,LARGE   ,NO      ,A       ,100
205,30706,3.4,15,65.2,JAX     ,LARGE   ,NO      ,B       ,100
206,30706,3.4,15,63.8,JAX     ,LARGE   ,NO      ,D       ,100
207,24079,3.4,24,100,JAX     ,LARGE   ,NO      ,A       ,100
208,32995,3,15,65.2,JAX     ,SMALL   ,NO      ,B       ,100
209,32995,3,15,61.2,JAX     ,SMALL   ,NO      ,C       ,100
210,25620,3,24,100,JAX     ,SMALL   ,NO      ,B       ,100
211,69312,1.7,0.75,3.1,JAX     ,LARGE   ,NO      ,A       ,100
212,55679,1.7,3,13,JAX     ,LARGE   ,NO      ,B       ,100
213,55679,1.7,3,12.2,JAX     ,LARGE   ,NO      ,C       ,100
214,45996,1.7,7.5,30.6,JAX     ,LARGE   ,NO      ,C       ,100
215,45996,1.7,15,61.2,JAX     ,LARGE   ,NO      ,C       ,100
216,35668,1.7,24,100,JAX     ,LARGE   ,NO      ,A       ,100
217,44042,3.6,0.75,3.1,JAX     ,LARGE   ,NO      ,A       ,100
218,44042,3.6,0.75,3.3,JAX     ,LARGE   ,NO      ,B       ,100
219,36521,3.6,3,12.2,JAX     ,LARGE   ,NO      ,C       ,100
220,29963,3.6,15,65.2,JAX     ,LARGE   ,NO      ,B       ,100
221,29963,3.6,15,61.2,JAX     ,LARGE   ,NO      ,C       ,100
222,23298,3.6,24,100,JAX     ,LARGE   ,NO      ,A       ,100
223,23298,3.6,24,100,JAX     ,LARGE   ,NO      ,B       ,100
224,49962,3,0.25,1,JAX     ,SMALL   ,NO      ,A       ,100
225,49962,3,0.25,1.1,JAX     ,SMALL   ,NO      ,B       ,100
226,49962,3,0.25,1.1,JAX     ,SMALL   ,NO      ,D       ,100
227,39999,3,3,12.2,JAX     ,SMALL   ,NO      ,C       ,100
228,32995,3,7.5,31.3,JAX     ,SMALL   ,NO      ,A       ,100
229,32995,3,7.5,32.6,JAX     ,SMALL   ,NO      ,B       ,100
230,32995,3,7.5,30.6,JAX     ,SMALL   ,NO      ,C       ,100
231,25620,3,24,100,JAX     ,SMALL   ,NO      ,A       ,100
232,25620,3,24,98,JAX     ,SMALL   ,NO      ,C       ,100
233,56881,2.3,0.75,3.3,JAX     ,SMALL   ,NO      ,B       ,100
234,56881,2.3,0.75,3.1,JAX     ,SMALL   ,NO      ,C       ,100
235,37858,2.3,15,65.2,JAX     ,SMALL   ,NO      ,B       ,100
236,29760,2.3,24,100,JAX     ,SMALL   ,NO      ,A       ,100
237,29760,2.3,24,100,JAX     ,SMALL   ,NO      ,B       ,100
238,29760,2.3,24,98,JAX     ,SMALL   ,NO      ,C       ,100
239,29760,2.3,24,100,JAX     ,SMALL   ,NO      ,D       ,100
240,63433,2.1,0.25,1,JAX     ,LARGE   ,NO      ,A       ,100
241,60442,2.1,0.75,3.3,JAX     ,LARGE   ,NO      ,B       ,100
242,60442,2.1,0.75,3.2,JAX     ,LARGE   ,NO      ,D       ,100
243,48787,2.1,3,12.2,JAX     ,LARGE   ,NO      ,C       ,100
244,64439,3.6,0.25,1,MIA     ,LARGE   ,NO      ,A       ,150
245,64439,3.6,0.25,1,MIA     ,LARGE   ,NO      ,C       ,150
246,63897,3.6,0.75,3.1,MIA     ,LARGE   ,NO      ,A       ,150
247,63897,3.6,0.75,3.3,MIA     ,LARGE   ,NO      ,B       ,150
248,63897,3.6,0.75,3.1,MIA     ,LARGE   ,NO      ,C       ,150
249,45065,3.6,15,62.5,MIA     ,LARGE   ,NO      ,A       ,150
250,45065,3.6,15,61.2,MIA     ,LARGE   ,NO      ,C       ,150
251,431467,0.25,0.25,1.1,MIA     ,LARGE   ,NO      ,B       ,150
252,392479,0.25,0.75,3.1,MIA     ,LARGE   ,NO      ,A       ,150
253,392479,0.25,0.75,3.3,MIA     ,LARGE   ,NO      ,B       ,150
254,392479,0.25,0.75,3.2,MIA     ,LARGE   ,NO      ,D       ,150
255,303240,0.25,3,12.2,MIA     ,LARGE   ,NO      ,C       ,150
256,251256,0.25,7.5,32.6,MIA     ,LARGE   ,NO      ,B       ,150
257,251256,0.25,15,62.5,MIA     ,LARGE   ,NO      ,A       ,150
258,251256,0.25,15,61.2,MIA     ,LARGE   ,NO      ,C       ,150
259,62731,2.6,3,12.5,MIA     ,LARGE   ,NO      ,A       ,150
260,51651,2.6,7.5,32.6,MIA     ,LARGE   ,NO      ,B       ,150
261,51651,2.6,7.5,30.6,MIA     ,LARGE   ,NO      ,C       ,150
262,51651,2.6,15,65.2,MIA     ,LARGE   ,NO      ,B       ,150
263,51651,2.6,15,61.2,MIA     ,LARGE   ,NO      ,C       ,150
264,24636,2.6,24,100,MIA     ,LARGE   ,NO      ,A       ,150
265,113210,1.5,0.25,1.1,MIA     ,SMALL   ,NO      ,D       ,150
266,107145,1.5,0.75,3.3,MIA     ,SMALL   ,NO      ,B       ,150
267,73500,1.5,7.5,31.9,MIA     ,SMALL   ,NO      ,D       ,150
268,54872,4.8,0.25,1.1,MIA     ,LARGE   ,NO      ,D       ,150
269,54872,4.8,0.75,3.1,MIA     ,LARGE   ,NO      ,C       ,150
270,47472,4.8,3,12.5,MIA     ,LARGE   ,NO      ,A       ,150
271,47472,4.8,3,12.2,MIA     ,LARGE   ,NO      ,C       ,150
272,47472,4.8,3,12.8,MIA     ,LARGE   ,NO      ,D       ,150
273,39123,4.8,7.5,30.6,MIA     ,LARGE   ,NO      ,C       ,150
274,39123,4.8,15,65.2,MIA     ,LARGE   ,NO      ,B       ,150
275,39123,4.8,15,63.8,MIA     ,LARGE   ,NO      ,D       ,150
276,18853,4.8,24,100,MIA     ,LARGE   ,NO      ,A       ,150
277,18853,4.8,24,100,MIA     ,LARGE   ,NO      ,D       ,150
278,49204,6,0.25,1.1,MIA     ,SMALL   ,NO      ,B       ,150
279,49204,6,0.25,1,MIA     ,SMALL   ,NO      ,C       ,150
280,49204,6,0.75,3.3,MIA     ,SMALL   ,NO      ,B       ,150
281,49204,6,0.75,3.2,MIA     ,SMALL   ,NO      ,D       ,150
282,35125,6,7.5,32.6,MIA     ,SMALL   ,NO      ,B       ,150
283,35125,6,7.5,30.6,MIA     ,SMALL   ,NO      ,C       ,150
284,16886,6,24,98,MIA     ,SMALL   ,NO      ,C       ,150
285,16886,6,24,100,MIA     ,SMALL   ,NO      ,D       ,150
286,80142,1.8,3,12.2,MIA     ,SMALL   ,NO      ,C       ,150
287,65582,1.8,7.5,30.6,MIA     ,SMALL   ,NO      ,C       ,150
288,31688,1.8,24,98,MIA     ,SMALL   ,NO      ,C       ,150
289,66127,3.4,0.75,3.1,JAX     ,LARGE   ,NO      ,C       ,150
290,56380,3.4,3,12.5,JAX     ,LARGE   ,NO      ,A       ,150
291,56380,3.4,3,12.2,JAX     ,LARGE   ,NO      ,C       ,150
292,46505,3.4,7.5,31.3,JAX     ,LARGE   ,NO      ,A       ,150
293,46505,3.4,7.5,31.9,JAX     ,LARGE   ,NO      ,D       ,150
294,46505,3.4,15,65.2,JAX     ,LARGE   ,NO      ,B       ,150
295,22373,3.4,24,100,JAX     ,LARGE   ,NO      ,A       ,150
296,22373,3.4,24,100,JAX     ,LARGE   ,NO      ,B       ,150
297,71983,3,0.25,1,JAX     ,SMALL   ,NO      ,A       ,150
298,71983,3,0.25,1.1,JAX     ,SMALL   ,NO      ,D       ,150
299,70323,3,0.75,3.3,JAX     ,SMALL   ,NO      ,B       ,150
300,70323,3,0.75,3.1,JAX     ,SMALL   ,NO      ,C       ,150
301,60359,3,3,12.5,JAX     ,SMALL   ,NO      ,A       ,150
302,49385,3,7.5,31.3,JAX     ,SMALL   ,NO      ,A       ,150
303,49385,3,15,65.2,JAX     ,SMALL   ,NO      ,B       ,150
304,49385,3,15,61.2,JAX     ,SMALL   ,NO      ,C       ,150
305,49385,3,15,63.8,JAX     ,SMALL   ,NO      ,D       ,150
306,23553,3,24,100,JAX     ,SMALL   ,NO      ,A       ,150
307,104605,1.7,0.25,1,JAX     ,LARGE   ,NO      ,A       ,150
308,104605,1.7,0.25,1,JAX     ,LARGE   ,NO      ,C       ,150
309,100146,1.7,0.75,3.2,JAX     ,LARGE   ,NO      ,D       ,150
310,83837,1.7,3,12.5,JAX     ,LARGE   ,NO      ,A       ,150
311,83837,1.7,3,12.8,JAX     ,LARGE   ,NO      ,D       ,150
312,68675,1.7,7.5,30.6,JAX     ,LARGE   ,NO      ,C       ,150
313,64439,3.6,0.25,1.1,JAX     ,LARGE   ,NO      ,D       ,150
314,63897,3.6,0.75,3.3,JAX     ,LARGE   ,NO      ,B       ,150
315,63897,3.6,0.75,3.1,JAX     ,LARGE   ,NO      ,C       ,150
316,63897,3.6,0.75,3.2,JAX     ,LARGE   ,NO      ,D       ,150
317,21631,3.6,24,100,JAX     ,LARGE   ,NO      ,D       ,150
318,70323,3,0.75,3.1,JAX     ,SMALL   ,NO      ,C       ,150
319,60359,3,3,12.5,JAX     ,SMALL   ,NO      ,A       ,150
320,49385,3,15,65.2,JAX     ,SMALL   ,NO      ,B       ,150
321,49385,3,15,61.2,JAX     ,SMALL   ,NO      ,C       ,150
322,49385,3,15,63.8,JAX     ,SMALL   ,NO      ,D       ,150
323,82214,2.3,0.75,3.1,JAX     ,SMALL   ,NO      ,C       ,150
324,82214,2.3,0.75,3.2,JAX     ,SMALL   ,NO      ,D       ,150
325,56975,2.3,7.5,30.6,JAX     ,SMALL   ,NO      ,C       ,150
326,56975,2.3,15,63.8,JAX     ,SMALL   ,NO      ,D       ,150
327,74057,2.1,3,13,JAX     ,LARGE   ,NO      ,B       ,150
328,60339,2.1,7.5,31.3,JAX     ,LARGE   ,NO      ,A       ,150
329,29163,2.1,24,100,JAX     ,LARGE   ,NO      ,A       ,150
330,29163,2.1,24,100,JAX     ,LARGE   ,NO      ,B       ,150
331,84173,3.6,0.25,1,MIA     ,LARGE   ,NO      ,A       ,200
332,83752,3.6,0.75,3.2,MIA     ,LARGE   ,NO      ,D       ,200
333,60107,3.6,7.5,31.9,MIA     ,LARGE   ,NO      ,D       ,200
334,60107,3.6,15,65.2,MIA     ,LARGE   ,NO      ,B       ,200
335,60107,3.6,15,61.2,MIA     ,LARGE   ,NO      ,C       ,200
336,60107,3.6,15,63.8,MIA     ,LARGE   ,NO      ,D       ,200
337,55520,3.6,24,100,MIA     ,LARGE   ,NO      ,B       ,200
338,55520,3.6,24,100,MIA     ,LARGE   ,NO      ,D       ,200
339,500779,0.25,0.75,3.1,MIA     ,LARGE   ,NO      ,A       ,200
340,405475,0.25,3,12.2,MIA     ,LARGE   ,NO      ,C       ,200
341,332698,0.25,7.5,31.3,MIA     ,LARGE   ,NO      ,A       ,200
342,332698,0.25,7.5,30.6,MIA     ,LARGE   ,NO      ,C       ,200
343,332698,0.25,15,63.8,MIA     ,LARGE   ,NO      ,D       ,200
344,71728,2.6,7.5,30.6,MIA     ,LARGE   ,NO      ,C       ,200
345,66251,2.6,24,100,MIA     ,LARGE   ,NO      ,A       ,200
346,66251,2.6,24,100,MIA     ,LARGE   ,NO      ,D       ,200
347,145700,1.5,0.25,1,MIA     ,SMALL   ,NO      ,C       ,200
348,139635,1.5,0.75,3.1,MIA     ,SMALL   ,NO      ,C       ,200
349,118697,1.5,3,13,MIA     ,SMALL   ,NO      ,B       ,200
350,97759,1.5,15,61.2,MIA     ,SMALL   ,NO      ,C       ,200
351,90288,1.5,24,100,MIA     ,SMALL   ,NO      ,B       ,200
352,72200,4.8,0.25,1,MIA     ,LARGE   ,NO      ,C       ,200
353,72200,4.8,0.25,1.1,MIA     ,LARGE   ,NO      ,D       ,200
354,72200,4.8,0.75,3.2,MIA     ,LARGE   ,NO      ,D       ,200
355,48103,4.8,24,100,MIA     ,LARGE   ,NO      ,D       ,200
356,64655,6,0.25,1,MIA     ,SMALL   ,NO      ,C       ,200
