"gender","lang","ses","minor","sch","prog","locus","concept","mot","career","read","write","math","sci","ss"
"male","english","low","no","public","vocation",-0.38,0.03,1,"operative",38.9,41.7,37.7,44.4,45.6
"male","spanish","low","yes","public","general",-0.18,0.15,0,"service",38.9,28.1,36,36.3,35.6
"male","english","low","yes","public","vocation",0.93,-1.63,0.67,"operative",38.9,41.1,40.3,34.1,45.6
"female","english","low","yes","public","vocation",-0.54,-0.59,1,"homemaker",38.9,35.9,38.4,33.6,35.6
"female","english","high","no","public","vocation",-0.14,-0.86,0,"prof1",38.9,46.3,50.1,36.3,45.6
"female","english","low","no","public","general",0.27,-2.52,0.33,"operative",38.9,32,35.3,46.6,51.8
"male","english","middle","yes","public","vocation",-0.38,0.34,0.67,"military",38.9,28.1,35.3,39,40.6
"male","spanish","high","yes","public","vocation",-0.83,1.19,0.67,"prof1",38.9,38.5,44.4,26,41.9
"female","english","middle","no","public","vocation",-0.68,0.03,0.33,"not working",38.9,38.5,41.2,39,35.6
"male","english","high","no","public","academic",0.22,1.19,0.33,"sales",38.9,33.3,37.7,47.1,40.6
"female","spanish","low","yes","public","vocation",0.73,-1.42,0.33,"service",38.9,41.1,41,36.3,45.6
"male","english","middle","no","public","academic",-0.21,-1.13,0,"craftsman",38.9,41.1,43.6,55.3,45.6
"female","spanish","low","yes","public","general",-0.34,0.59,1,"military",38.9,33.9,35.1,44.4,40.6
"female","spanish","low","yes","public","general",0.52,-0.28,0.67,"prof1",38.9,41.7,33.7,30.9,50.6
"female","english","middle","yes","public","academic",0.51,-1.29,0.33,"clerical",39.4,41.7,46.9,35.2,50.6
"female","english","low","no","public","general",-1.99,0.03,0,"prof1",39.4,54.1,38.7,47.1,35.6
"female","english","low","yes","public","academic",0.1,0.32,0.67,"prof1",40,40.4,42.4,48.8,60.5
"female","english","low","yes","public","vocation",0.31,1.19,1,"clerical",40.5,46.9,40.4,39,50.6
"female","mandarin","high","yes","public","academic",-0.39,1.19,1,"prof1",40.5,59.3,41.9,33.6,50.6
"male","english","middle","no","public","vocation",-1.33,0.65,0,"craftsman",40.5,38.5,47.1,44.4,30.6
"male","english","middle","no","public","general",-1.33,0.03,0.67,"craftsman",41.6,30.7,56.9,47.1,50.6
"female","english","middle","no","private","academic",0.26,-0.57,1,"prof2",41.6,58.6,54.6,55.3,60.5
"female","english","low","no","public","general",-0.4,-0.89,0.33,"operative",41.6,56.7,45,50.4,43.1
"male","spanish","middle","yes","public","vocation",-0.21,0.03,1,"manager",41.6,43.7,51.1,49.8,40.6
"female","english","high","no","public","academic",0.06,0.03,1,"prof2",41.6,54.1,41.2,41.7,40.6
"female","english","high","no","public","academic",0.46,-0.55,0.33,"prof2",41.6,54.1,50.3,49.8,51.8
"female","english","middle","no","public","general",-0.65,0.03,0.33,"prof1",41.6,39.1,42.3,41.7,40.6
"female","english","middle","no","public","vocation",-1.81,-0.64,1,"service",41.6,54.1,46.9,47.1,45.6
"female","english","middle","no","public","vocation",-0.14,0.13,0.67,"prof1",41.6,56.7,51.3,47.1,60.5
"male","english","low","yes","public","general",0.45,-0.91,0.33,"craftsman",41.6,41.1,42.8,49.8,40.6
"male","spanish","middle","yes","public","academic",-0.83,0.13,1,"prof1",41.6,35.9,36.7,36.3,55.6
"female","english","low","no","public","general",-0.8,0.15,0.33,"service",41.6,41.1,39.5,47.1,60.5
"female","spanish","middle","yes","public","general",0.52,-0.59,0.67,"homemaker",41.6,59.3,38.6,36.3,50.6
"male","spanish","middle","yes","public","vocation",0.29,0.39,0.33,"military",41.6,33.3,37.6,28.2,45.6
"male","english","middle","no","public","vocation",-0.43,-1.22,0,"laborer",41.6,46.9,55.5,44.4,40.6
"male","spanish","low","yes","public","academic",-0.84,-1.09,0.33,"craftsman",41.6,41.7,45.1,36.3,40.6
"female","english","low","no","public","vocation",-0.19,-2.58,0,"clerical",41.6,54.1,41,41.7,40.6
"male","spanish","middle","yes","public","general",-1.33,0.03,1,"prof1",41.6,48.9,33.7,44.4,45.6
"female","english","low","yes","public","general",-0.04,-0.29,0.67,"prof2",41.6,38.5,40.2,33.6,45.6
"female","english","middle","no","public","vocation",-0.64,0.03,1,"homemaker",41.6,46.3,38.4,36.3,45.6
"female","english","middle","no","public","general",0.03,0.03,1,"proprietor",41.6,43,44.5,39,50.6
"female","english","high","yes","public","general",0.75,-0.26,0.67,"service",41.6,35.9,42,31.4,39.4
"female","english","middle","no","public","general",0.06,0.03,1,"not working",41.6,46.3,46.2,39,45.6
"male","english","low","no","public","general",-0.37,-0.47,0.67,"prof1",41.6,48.9,42.6,49.8,55.6
"female","english","high","no","private","academic",0.46,0.03,1,"prof1",41.6,64.5,47.1,53.1,60.5
"male","english","high","no","public","general",-0.84,0.34,0,"prof2",41.6,46.3,59.6,63.4,65.5
"female","spanish","high","yes","public","vocation",0.02,0.03,0.33,"homemaker",41.6,35.9,37.7,41.7,45.6
"male","mandarin","low","yes","public","general",0.45,0.03,0.67,"craftsman",41.6,25.5,44.3,36.3,35.6
"female","english","middle","no","public","general",-0.63,0.44,0.33,"homemaker",41.6,43.7,46.8,36.3,50.6
"male","spanish","middle","yes","public","vocation",-1.28,1.19,1,"prof1",41.6,41.1,45.9,44.4,40.6
"female","spanish","low","yes","public","general",0.71,0.03,0.67,"prof1",41.6,59.3,41.9,44.4,45.6
"male","english","high","no","public","general",0.75,-0.49,0.33,"technical",41.6,41.1,41.2,44.4,35.6
"female","english","high","no","public","general",-0.2,1.19,1,"service",41.6,46.9,41.7,47.1,60.5
"male","english","high","no","public","general",0.06,0.03,0.67,"proprietor",41.6,39.1,56.3,45,50.6
"male","english","middle","no","public","vocation",0.68,1.19,0.33,"school",41.6,41.1,57.2,71.5,30.6
"male","spanish","middle","yes","public","vocation",-0.44,0.03,0.33,"prof1",41.6,38.5,38.7,56.3,45.6
"female","spanish","middle","yes","public","general",-0.19,-1.67,0,"sales",42.1,39.8,42.2,38.5,40.6
"female","english","middle","no","public","vocation",0.43,-0.47,1,"clerical",42.6,50.8,44.6,39,55.6
"female","english","high","yes","public","general",0.75,-0.72,0.67,"school",42.6,46.3,41.2,28.2,45.6
"female","english","middle","no","public","vocation",0.66,-0.6,0,"service",42.6,56.7,40.3,49.8,50.6
"female","english","high","no","public","general",1.13,0.03,0.33,"prof1",43.2,54.1,54.8,55.3,45.6
"female","english","middle","no","public","vocation",0.06,0.03,1,"homemaker",43.2,47.6,45.6,47.1,45.6
"female","english","middle","no","public","general",-0.83,0.65,0.33,"homemaker",44.2,59.3,55.5,36.3,55.6
"male","english","low","no","public","vocation",-0.88,-0.29,0.33,"operative",44.2,54.1,41,49.8,45.6
"male","english","middle","no","public","academic",-1.13,-0.55,0.33,"protective",44.2,46.9,45.5,39,50.6
"female","spanish","low","yes","public","academic",0.68,0.25,1,"prof1",44.2,51.5,36.9,49.8,55.6
"female","spanish","middle","yes","public","general",-0.89,-0.18,0.67,"prof2",44.2,43.7,44.5,41.7,50.6
"female","english","low","no","public","general",-1.33,0.34,0,"homemaker",44.2,41.1,36.9,41.7,45.6
"male","english","middle","no","public","academic",-0.4,0.03,0,"prof2",44.2,33.3,47.8,44.4,45.6
"female","spanish","low","yes","public","academic",0.05,0.15,1,"proprietor",44.2,49.5,40.5,39,50.6
"female","english","low","no","public","vocation",-0.9,-2.54,0,"homemaker",44.2,43.7,40.2,39.6,30.6
"male","english","middle","no","public","vocation",-1.05,-0.34,0.67,"clerical",44.2,38.5,41.4,42.3,35.6
"male","english","low","no","public","vocation",-0.91,-0.59,0.67,"operative",44.2,39.1,46.3,36.3,40.6
"male","spanish","low","yes","public","general",0.06,-0.59,0,"operative",44.2,41.1,59.8,44.4,35.6
"male","english","middle","no","public","general",-0.11,0.25,1,"prof1",44.2,44.3,45.6,39,50.6
"female","english","low","no","public","vocation",-0.18,0.28,0.33,"homemaker",44.2,51.5,46.1,47.1,50.6
"male","english","high","no","public","general",-0.16,0.03,0.33,"proprietor",44.2,59.3,49.5,55.3,45.6
"male","english","high","no","public","vocation",-0.18,0.03,0.67,"craftsman",44.2,48.9,56.3,41.7,60.5
"female","english","middle","no","private","academic",-0.84,-2.6,0.33,"service",44.2,64.5,53,55.3,60.5
"male","english","low","no","public","general",-0.36,-1.67,1,"farmer",44.2,43.7,56.4,58,60.5
"female","english","middle","no","private","academic",0.47,0.34,0.67,"technical",44.2,48.9,48,39,50.6
"male","english","low","no","public","general",0.28,-0.06,0.33,"craftsman",44.2,30.7,35.3,47.1,45.6
"female","english","low","no","public","general",-0.61,0.03,0.33,"proprietor",44.2,54.1,40.3,52.6,40.6
"male","english","middle","no","public","vocation",-0.44,-0.22,0,"craftsman",44.2,33.3,40.9,47.1,45.6
"female","english","middle","no","private","vocation",0.46,0.56,0.67,"prof1",44.2,54.1,52.2,44.4,45.6
"male","english","high","no","private","academic",0.71,-0.06,0.67,"prof1",44.2,37.8,49.2,39,45.6
"female","english","low","yes","public","vocation",-1.34,1.19,1,"prof1",44.2,41.1,44.2,44.4,40.6
"female","english","low","no","public","vocation",-0.61,0.36,0,"homemaker",44.2,48.9,46.1,47.1,55.6
"female","english","low","yes","public","general",-0.89,-1.23,1,"prof2",44.2,48.9,43.8,35.2,50.6
"male","english","middle","no","public","general",0.91,-0.47,0.67,"operative",44.2,41.1,50.5,58,40.6
"female","mandarin","middle","yes","public","vocation",0.06,0.28,1,"clerical",44.2,54.1,47.1,58,50.6
"male","english","middle","no","private","academic",-1.09,-0.26,0.33,"proprietor",44.2,41.1,45.1,47.1,45.6
"female","english","low","no","public","general",-0.38,0.37,0.67,"homemaker",44.2,43.7,46.1,47.1,50.6
"male","english","middle","no","public","vocation",-1.3,0.13,0.33,"proprietor",44.2,41.1,51.8,47.1,40.6
"female","english","low","no","public","academic",-0.4,0.03,1,"service",44.2,54.1,59.3,58,50.6
"male","english","high","no","public","general",0.06,0.03,0,"prof2",44.2,33.3,53.9,58,30.6
"male","english","low","no","public","general",-0.4,0.65,0.67,"laborer",44.2,43.7,38.6,33.6,45.6
"female","english","low","no","private","academic",-0.14,-0.6,0.33,"service",44.2,48.9,54.3,49.8,45.6
"male","english","middle","no","public","vocation",-2.23,1.19,0.33,"laborer",44.2,38.5,41.2,49.8,45.6
"female","english","middle","no","private","general",0.68,0.03,0,"prof2",44.2,35.9,43.6,47.1,40.6
"female","english","middle","no","public","general",-1.15,-0.47,0.67,"homemaker",44.2,56.7,52.2,44.4,55.6
"male","english","high","no","public","general",0.06,0.03,1,"prof1",44.2,54.1,51.4,39,45.6
"male","english","middle","no","public","vocation",-0.89,0.56,0.33,"craftsman",44.2,41.1,40.3,49.8,25.7
"male","english","low","no","public","academic",1.11,-0.09,0,"prof1",44.2,48.9,48,49.8,55.6
"male","english","high","no","private","academic",0.02,0.28,0.67,"prof1",44.2,51.5,52.9,52.6,45.6
"female","english","high","no","private","academic",0.68,0.03,1,"manager",44.2,48.9,46.2,47.7,45.6
"male","spanish","middle","yes","public","general",-0.04,0.65,1,"technical",44.2,44.3,61.1,49.8,45.6
"male","english","middle","no","public","academic",-0.39,-0.28,0.67,"prof1",44.2,51.5,51.1,63.4,60.5
"male","spanish","middle","yes","public","vocation",0.3,0.56,1,"technical",44.2,33.3,37.7,30.9,41.9
"female","english","middle","no","private","academic",0.96,0.03,0.67,"proprietor",44.2,51.5,43.2,44.4,50.6
"male","spanish","middle","yes","private","general",-0.67,-0.47,0,"operative",44.2,48.9,43.1,55.3,45.6
"female","english","low","no","private","academic",-0.17,0.03,0.67,"service",44.2,59.3,45.7,55.3,50.6
"female","english","middle","no","public","general",0.46,0.03,0.33,"sales",44.7,38.5,45.9,44.4,35.6
"male","english","low","yes","public","academic",0.03,0.32,1,"manager",44.7,56.7,50.3,30.9,55.6
"male","english","low","no","public","academic",-0.27,0.94,0,"not working",44.7,54.1,50.4,45,50.6
"female","english","low","no","private","academic",-0.19,-1.73,1,"clerical",44.7,47.6,50.3,39,50.6
"male","english","high","yes","public","vocation",-0.66,-0.08,1,"protective",44.7,33.3,33.7,39,35.6
"female","english","low","no","public","general",-1.02,-1.67,0.67,"laborer",45.3,43,52.3,60.7,56.8
"female","english","low","yes","public","academic",0.06,0.94,0.67,"prof1",45.3,54.7,44.3,33.6,40.6
"female","english","low","no","private","vocation",-0.38,0.03,1,"prof1",45.3,38.5,43.5,40.1,45.6
"female","english","middle","yes","public","vocation",0.22,-0.76,0.67,"technical",45.8,52.1,54.9,44.4,55.6
"male","english","low","no","public","general",1.13,0.03,0.33,"laborer",45.8,41.7,43.1,53.6,36.9
"female","english","low","no","public","general",-0.24,0.03,0.67,"prof1",45.8,54.1,49.5,47.1,55.6
"male","english","low","no","public","vocation",-1.74,0.61,0.33,"not working",45.8,34.6,37.9,39,45.6
"male","english","low","no","public","academic",0,0.65,0.67,"military",46.9,33.3,50.4,47.1,55.6
"female","english","low","no","public","vocation",0.96,0.94,0.67,"prof1",46.9,50.2,46.5,47.1,51.8
"male","english","middle","no","private","vocation",0,0.34,0.33,"craftsman",46.9,56.7,57.2,58,45.6
"male","mandarin","middle","yes","public","vocation",0.89,0.32,0.67,"prof2",46.9,44.3,48.7,53.1,55.6
"male","english","middle","no","private","academic",0.71,0.03,0.33,"proprietor",46.9,46.9,41,41.7,50.6
"female","english","low","no","private","general",-0.23,0.69,0.67,"service",46.9,61.9,48,39,50.6
"male","spanish","low","yes","public","vocation",-0.22,-1.34,0.67,"technical",46.9,31.3,43.6,36.3,35.6
"female","english","high","no","private","academic",0.06,0.03,0.67,"school",46.9,60.6,51.3,63.4,30.6
"female","spanish","middle","yes","public","academic",-1.06,0.03,0.67,"manager",46.9,56.7,48,44.4,40.6
"female","english","middle","no","public","vocation",0.02,-0.32,1,"homemaker",46.9,46.3,52,47.7,45.6
"male","english","middle","no","public","academic",0.06,0.03,0,"proprietor",46.9,51.5,57.2,52.6,60.5
"female","english","high","no","private","academic",1.16,0.09,1,"prof1",46.9,52.1,42.5,47.7,60.5
"female","english","low","no","public","general",1.36,0.65,1,"service",46.9,51.5,57,49.8,40.6
"male","english","high","no","public","vocation",0.46,0.63,0.67,"craftsman",46.9,52.8,49.3,53.1,35.6
"female","mandarin","middle","yes","public","general",-1.09,0.03,0.33,"craftsman",46.9,43.7,41.9,41.7,35.6
"female","english","low","no","public","academic",0.68,0.88,1,"prof1",46.9,61.9,53,52.6,60.5
"male","spanish","middle","yes","public","academic",0.06,0.56,0.33,"prof1",46.9,41.1,45.3,47.1,55.6
"male","english","low","no","public","vocation",-0.44,-0.55,0.33,"homemaker",46.9,38.5,47.1,41.7,25.7
"female","english","low","yes","private","general",0.7,0.87,1,"clerical",46.9,54.1,46.4,49.8,55.6
"female","english","middle","no","private","vocation",-0.59,0.28,1,"school",46.9,51.5,48.5,49.8,50.6
"male","spanish","high","yes","public","academic",0.21,-0.28,0.67,"protective",46.9,41.1,53.6,41.7,55.6
"male","mandarin","low","yes","public","general",0.71,0.03,1,"prof2",46.9,61.9,46.2,60.7,45.6
"male","english","high","no","public","academic",-0.41,0.28,0.33,"technical",46.9,35.9,42.6,58,55.6
"male","spanish","low","yes","public","academic",-1.1,0.03,0,"military",46.9,40.4,42.8,45,30.6
"female","spanish","middle","yes","public","vocation",-1.05,-1.65,0,"prof1",46.9,46.3,38.6,47.1,60.5
"male","english","low","no","public","vocation",0.46,-1.17,0.33,"laborer",46.9,30.7,40.3,58,35.6
"female","english","middle","no","private","academic",0.52,0.34,1,"prof2",46.9,64.5,59.6,49.8,55.6
"male","english","middle","no","private","academic",0.06,0.03,0.67,"technical",46.9,56.7,56.1,60.7,55.6
"male","english","high","no","public","general",0.93,0.34,1,"prof2",46.9,54.1,54.6,55.3,50.6
"female","spanish","middle","yes","public","general",-0.6,-0.47,0.67,"prof1",46.9,54.1,49,52.6,60.5
"male","spanish","middle","yes","public","general",-0.44,-0.84,0.33,"craftsman",46.9,46.3,45.9,37.9,45.6
"female","english","middle","no","private","academic",0.52,0.03,1,"school",46.9,51.5,53.7,41.7,40.6
"female","english","middle","no","private","academic",0.91,-0.47,1,"prof1",46.9,64.5,55.8,61.8,60.5
"female","spanish","low","yes","public","academic",0.06,0.03,1,"prof2",46.9,41.1,46.2,39.6,40.6
"female","english","middle","no","public","academic",0.55,-0.24,0.67,"sales",46.9,56.7,54.6,47.1,55.6
"female","english","low","yes","public","academic",0.44,0.65,1,"operative",46.9,46.3,48.5,32.5,40.6
"male","english","high","no","public","academic",0.68,-0.47,0.33,"military",46.9,61.9,60.5,68.8,65.5
"male","english","middle","no","private","academic",0.71,0.03,0.33,"laborer",46.9,59.3,63,52.6,45.6
"female","spanish","middle","yes","public","academic",0.31,1.19,1,"prof1",46.9,44.3,41.9,39,50.6
"male","english","high","no","public","academic",0.49,1.19,1,"prof2",46.9,51.5,50.6,49.8,55.6
"female","english","low","yes","public","academic",-0.49,0.03,0,"operative",46.9,37.2,42.8,41.7,45.6
"female","english","middle","no","private","academic",0,0.34,0.33,"prof1",46.9,59.3,53.7,58,45.6
"female","english","middle","no","public","general",0.27,0.03,0.67,"clerical",46.9,56.7,63.8,55.3,55.6
"male","spanish","low","yes","public","general",-0.42,0.03,0.33,"craftsman",46.9,35.9,41.9,36.3,45.6
"female","english","high","no","public","general",1.36,0.03,0.67,"school",46.9,59.3,56.3,66.1,60.5
"female","english","middle","no","public","general",-0.69,-1.13,0.67,"clerical",46.9,54.1,45.4,44.4,45.6
"female","english","low","yes","public","vocation",-0.6,0.9,0.67,"clerical",46.9,61.9,45.4,33.6,45.6
"female","english","middle","no","public","academic",0.06,0.65,0.33,"proprietor",47.4,64.5,53.9,55.8,50.6
"female","english","middle","no","public","vocation",0.75,0.34,1,"prof1",47.4,41.7,51.6,38.5,50.6
"female","mandarin","low","yes","public","vocation",-0.93,0.65,1,"laborer",47.4,45.6,49.4,42.3,45.6
"male","english","high","no","private","academic",0.68,-0.53,1,"proprietor",48.4,48.2,60.5,60.1,49.3
"male","spanish","middle","yes","public","vocation",0.26,0.03,0.33,"proprietor",48.4,48.9,52.2,43.9,50.6
"female","english","high","no","public","vocation",-0.41,0.03,0.67,"service",49.5,51.5,45.1,58,35.6
"female","english","middle","no","public","vocation",-0.64,-0.51,0.67,"homemaker",49.5,56.7,47.7,44.4,60.5
"male","english","middle","no","private","vocation",0.23,0.15,0.33,"craftsman",49.5,51.5,48,52.6,50.6
"female","spanish","low","yes","public","academic",0.25,0.34,1,"prof1",49.5,61.9,42.9,41.7,50.6
"female","english","low","no","public","academic",0.48,0.32,1,"school",49.5,54.1,38.7,49.8,50.6
"male","english","high","no","private","academic",-0.6,0.34,0,"craftsman",49.5,41.7,50.3,36.3,60.5
"male","english","middle","no","public","general",0.26,0.03,1,"craftsman",49.5,35.9,47.8,52.6,35.6
"male","english","low","no","public","vocation",0.08,0.94,0.33,"craftsman",49.5,52.8,50.6,48.8,66.8
"male","english","middle","no","private","academic",0.06,0.56,1,"prof2",49.5,56.7,46.2,55.3,50.6
"female","english","middle","no","private","academic",-0.66,-1.07,0.67,"clerical",49.5,61.9,60.4,47.1,50.6
"female","english","middle","no","public","vocation",0.1,0.03,0.33,"manager",49.5,56.7,48,47.1,60.5
"male","english","low","no","public","general",0.25,0.65,0,"farmer",49.5,48.9,50.4,63.4,55.6
"male","spanish","middle","yes","public","general",0.46,0.03,0,"proprietor",49.5,46.3,46.2,41.7,35.6
"male","english","high","no","public","academic",0.06,0.32,0.67,"protective",49.5,43.7,55.5,68.8,65.5
"female","english","middle","no","public","academic",0.3,-0.6,1,"prof1",49.5,59.3,53.1,60.7,60.5
"female","english","low","no","public","vocation",0.26,-0.26,0,"manager",49.5,56.7,43.8,47.1,40.6
"female","english","low","no","public","general",0.26,0.87,1,"farmer",49.5,61.9,61.4,63.4,50.6
"male","english","middle","no","public","vocation",0.25,-0.26,0.33,"craftsman",49.5,30.7,40.3,33.6,30.6
"female","english","middle","no","private","vocation",1.13,0.88,0.33,"clerical",49.5,51.5,52.7,55.3,55.6
"female","mandarin","high","yes","public","vocation",-0.35,-0.89,0,"clerical",49.5,67.1,66.4,66.1,55.6
"female","english","low","no","public","vocation",-1.15,-1.38,1,"not working",49.5,56.7,46.1,53.6,40.6
"male","english","middle","yes","public","academic",0.49,0.94,1,"prof1",49.5,39.8,44.5,55.3,55.6
"male","spanish","middle","yes","public","vocation",-1.58,0.56,0.67,"craftsman",49.5,33.3,48.7,44.4,35.6
"female","english","high","no","private","academic",0.68,0.06,0.67,"clerical",49.5,51.5,41.2,41.7,45.6
"male","english","low","no","public","academic",0.7,-0.16,1,"prof2",49.5,61.9,50.9,46.1,66.8
"female","english","middle","no","public","vocation",-0.6,-0.26,0.67,"homemaker",49.5,41.1,38.4,52.6,35.6
"male","english","middle","no","public","academic",0.46,0.65,1,"technical",49.5,48.9,60.5,55.3,55.6
"female","english","middle","no","public","general",-0.16,-0.45,0.67,"homemaker",49.5,54.1,61.9,52.6,50.6
"female","mandarin","high","yes","public","vocation",0.06,-0.29,0.67,"clerical",49.5,56.7,68.1,49.8,55.6
